# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
information_gain	0.49174078780177893	0.06672191860324395	1.0	1.0	0.0
gain_ratio	0.5042117930204573	0.06995448561396607	1.0	1.0	0.0
gini_index	0.4977168949771689	0.05637498582026636	1.0	1.0	0.0
gain_ratio	0.5056746532156369	0.04439135715946301	11.0	1.0	0.0
accuracy	0.493993993993994	0.06814077866853029	1.0	1.0	0.0
information_gain	0.479064039408867	0.05627240723082464	11.0	1.0	0.0
accuracy	0.5194029850746269	0.053752260248017776	11.0	1.0	0.0
gini_index	0.4969512195121951	0.049038292611426275	11.0	1.0	0.0
gain_ratio	0.5211970074812967	0.039282970231576314	21.0	1.0	0.0
information_gain	0.4919852034525277	0.05801578552199494	21.0	1.0	0.0
gini_index	0.48813056379821956	0.04526612027463086	21.0	1.0	0.0
accuracy	0.4894578313253012	0.06920019554144928	21.0	1.0	0.0
gain_ratio	0.49515738498789347	0.038543422414692115	31.0	1.0	0.0
information_gain	0.49122807017543857	0.04806749558216927	31.0	1.0	0.0
gini_index	0.4823348694316436	0.06474584512608653	31.0	1.0	0.0
accuracy	0.4946401225114854	0.0765614336248173	31.0	1.0	0.0
gain_ratio	0.5054945054945055	0.054231090697796865	41.0	1.0	0.0
information_gain	0.50375	0.031002690552972376	41.0	1.0	0.0
gini_index	0.5045871559633027	0.0466753822398176	41.0	1.0	0.0
gain_ratio	0.5163727959697733	0.05978227679214447	51.0	1.0	0.0
accuracy	0.5282442748091603	0.04195033181885916	41.0	1.0	0.0
information_gain	0.4854721549636804	0.059431196534227584	51.0	1.0	0.0
gini_index	0.5014970059880239	0.05185368522707553	51.0	1.0	0.0
gain_ratio	0.49246231155778897	0.023486619097047426	60.0	1.0	0.0
accuracy	0.5068285280728376	0.04310153853660888	51.0	1.0	0.0
information_gain	0.4969249692496925	0.048774033509524146	60.0	1.0	0.0
gini_index	0.5230769230769231	0.037577161078904756	60.0	1.0	0.0
accuracy	0.5098039215686274	0.05243709136595564	60.0	1.0	0.0
gain_ratio	0.4969400244798042	0.024013363954210585	70.0	1.0	0.0
information_gain	0.4927360774818402	0.04554396974688754	70.0	1.0	0.0
gini_index	0.48085758039816234	0.06240701283341798	70.0	1.0	0.0
accuracy	0.49924357034795763	0.06025313457276237	70.0	1.0	0.0
gain_ratio	0.5	0.05996428950803677	80.0	1.0	0.0
information_gain	0.4931506849315068	0.05041865411421221	80.0	1.0	0.0
gini_index	0.49850299401197606	0.04013315323562083	80.0	1.0	0.0
accuracy	0.500768049155146	0.04485221669611715	80.0	1.0	0.0
gain_ratio	0.4918851435705368	0.05055495536299028	90.0	1.0	0.0
information_gain	0.5012165450121655	0.027829579475881012	90.0	1.0	0.0
gini_index	0.49770290964777947	0.040480831810280324	90.0	1.0	0.0
gain_ratio	0.5169811320754717	0.048858193219149304	100.0	1.0	0.0
accuracy	0.4969512195121951	0.06101439315644154	90.0	1.0	0.0
information_gain	0.5	0.058208159717747884	100.0	1.0	0.0
gini_index	0.49924585218702866	0.03221691918824525	100.0	1.0	0.0
accuracy	0.49395770392749244	0.05105293931626312	100.0	1.0	0.0
gain_ratio	0.5197505197505198	0.06626348263442634	1.0	11.0	0.0
information_gain	0.5235109717868338	0.0516022735542929	1.0	11.0	0.0
gini_index	0.5171306209850107	0.046190578378974674	1.0	11.0	0.0
accuracy	0.5201271186440678	0.03672647469567715	1.0	11.0	0.0
