# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
gain_ratio	0.5540788267644363	0.016558365923465428	1.0	1.0	0.0
information_gain	0.5427330895795247	0.024349199309898914	1.0	1.0	0.0
gini_index	0.5482596889656874	0.01705771373192869	1.0	1.0	0.0
gain_ratio	0.5554272517321016	0.024326934664758305	11.0	1.0	0.0
accuracy	0.5512410911771934	0.02414825195913336	1.0	1.0	0.0
information_gain	0.5441712204007286	0.022081157521541356	11.0	1.0	0.0
accuracy	0.5516732283464567	0.03278266302710426	11.0	1.0	0.0
gini_index	0.5586053412462908	0.018223147012993608	11.0	1.0	0.0
gain_ratio	0.5520714122224766	0.0291135386289673	21.0	1.0	0.0
gini_index	0.5572763028515241	0.01741519521027718	21.0	1.0	0.0
information_gain	0.5462983925741454	0.022479258073867928	21.0	1.0	0.0
accuracy	0.5599117863268807	0.01935764157791432	21.0	1.0	0.0
gain_ratio	0.5438717067583047	0.024473816290574307	31.0	1.0	0.0
information_gain	0.5440473480537218	0.017679865842520178	31.0	1.0	0.0
gini_index	0.5548990645002462	0.03079053966801388	31.0	1.0	0.0
accuracy	0.551010349926072	0.01609746921362609	31.0	1.0	0.0
gain_ratio	0.5472648203250172	0.027140826260174694	41.0	1.0	0.0
information_gain	0.5404663923182441	0.017655473203257322	41.0	1.0	0.0
gini_index	0.5543851053405193	0.025207070737322177	41.0	1.0	0.0
gain_ratio	0.5420883164673413	0.02561340343834651	51.0	1.0	0.0
accuracy	0.5531081742535487	0.029082196144852412	41.0	1.0	0.0
information_gain	0.5418472063854047	0.020495031180777733	51.0	1.0	0.0
gain_ratio	0.5520857077729656	0.016485850693395032	60.0	1.0	0.0
gini_index	0.5498281786941581	0.02160937959541796	51.0	1.0	0.0
accuracy	0.5602749815860545	0.037471591974899646	51.0	1.0	0.0
information_gain	0.5539305301645339	0.022936355128460723	60.0	1.0	0.0
gain_ratio	0.5453504351809436	0.016969630354096817	70.0	1.0	0.0
gini_index	0.5544651619234544	0.024175000536457436	60.0	1.0	0.0
accuracy	0.5553925165077036	0.02338734244299097	60.0	1.0	0.0
information_gain	0.541542687113756	0.01624597526782723	70.0	1.0	0.0
gain_ratio	0.5507776761207686	0.013237974772536805	80.0	1.0	0.0
gini_index	0.5579283259695631	0.02860775053547156	70.0	1.0	0.0
accuracy	0.5601953601953602	0.020487576159690105	70.0	1.0	0.0
information_gain	0.5492121488924412	0.031534173837204936	80.0	1.0	0.0
gini_index	0.5567262925753492	0.021933005761922555	80.0	1.0	0.0
gain_ratio	0.5501478280645895	0.030316611924576697	90.0	1.0	0.0
accuracy	0.5509655340992422	0.024554098037390015	80.0	1.0	0.0
information_gain	0.5454131572956977	0.01302910408707922	90.0	1.0	0.0
accuracy	0.5550930460333007	0.026456797806593654	90.0	1.0	0.0
gini_index	0.5508641975308642	0.02240773748038291	90.0	1.0	0.0
gain_ratio	0.5430144528561597	0.025392953903453853	100.0	1.0	0.0
information_gain	0.5464058234758872	0.03118952064597298	100.0	1.0	0.0
gini_index	0.5561023622047244	0.019085802356214997	100.0	1.0	0.0
gain_ratio	0.5486125385405961	0.016543165978676822	1.0	11.0	0.0
accuracy	0.555229716520039	0.01962235993694703	100.0	1.0	0.0
information_gain	0.5452307692307692	0.017900407983943593	1.0	11.0	0.0
accuracy	0.555881121808288	0.026926265173550797	1.0	11.0	0.0
gini_index	0.5507853403141362	0.03300711964941037	1.0	11.0	0.0
gain_ratio	0.5410776480229461	0.018110786659142678	11.0	11.0	0.0
information_gain	0.5435005117707267	0.01353979306849595	11.0	11.0	0.0
gini_index	0.5507976490344249	0.01776117517520063	11.0	11.0	0.0
accuracy	0.5565601345668629	0.009416869638107114	11.0	11.0	0.0
gain_ratio	0.5526639344262295	0.019716801120320378	21.0	11.0	0.0
information_gain	0.5549856380796061	0.015475031640975422	21.0	11.0	0.0
gini_index	0.5615320217664295	0.01890449251918327	21.0	11.0	0.0
gain_ratio	0.5432504622971029	0.02422008775433777	31.0	11.0	0.0
accuracy	0.5518541797611565	0.028260695994915482	21.0	11.0	0.0
gini_index	0.5551608859172587	0.010729011521541184	31.0	11.0	0.0
information_gain	0.5535237312512842	0.026094732916553627	31.0	11.0	0.0
accuracy	0.556255247691016	0.011737392824084978	31.0	11.0	0.0
information_gain	0.5517879161528977	0.019047934083762097	41.0	11.0	0.0
gain_ratio	0.5454731667349447	0.02060371721849422	41.0	11.0	0.0
gini_index	0.5527249947797035	0.018626754141744882	41.0	11.0	0.0
gain_ratio	0.5376101660176266	0.009042044147243525	51.0	11.0	0.0
accuracy	0.559463986599665	0.014972271069287061	41.0	11.0	0.0
information_gain	0.5500513874614594	0.01729307396699284	51.0	11.0	0.0
gini_index	0.5626046901172529	0.019643348003351203	51.0	11.0	0.0
accuracy	0.5567703952901598	0.024820068347187117	51.0	11.0	0.0
information_gain	0.5476141716158099	0.016795712748587502	60.0	11.0	0.0
gain_ratio	0.550974358974359	0.02322151023489437	60.0	11.0	0.0
accuracy	0.556349873843566	0.021101274200562837	60.0	11.0	0.0
gini_index	0.5565089995814149	0.02674414490105525	60.0	11.0	0.0
gain_ratio	0.5565592280845822	0.016581851577319593	70.0	11.0	0.0
information_gain	0.5483275189821465	0.02909509650820945	70.0	11.0	0.0
gini_index	0.5560434964450021	0.016539157834873953	70.0	11.0	0.0
accuracy	0.5543911129742193	0.023844337198359232	70.0	11.0	0.0
information_gain	0.5477459016393442	0.020742778168683577	80.0	11.0	0.0
gain_ratio	0.5486253590480098	0.026024287641362012	80.0	11.0	0.0
gini_index	0.5606345230640785	0.021002827430432386	80.0	11.0	0.0
accuracy	0.5515647973114892	0.018701715605237257	80.0	11.0	0.0
information_gain	0.5473208786696777	0.013419967525858499	90.0	11.0	0.0
gain_ratio	0.55031768805083	0.02705410036240552	90.0	11.0	0.0
gini_index	0.5534854511199497	0.018240566696602126	90.0	11.0	0.0
accuracy	0.5542016806722689	0.017634853223361516	90.0	11.0	0.0
gain_ratio	0.5432958034800409	0.025838783692146674	100.0	11.0	0.0
gini_index	0.5549023724543355	0.02234540905717053	100.0	11.0	0.0
information_gain	0.5476336816226183	0.025924767310534065	100.0	11.0	0.0
information_gain	0.5511637239165329	0.025149585586431832	1.0	21.0	0.0
gain_ratio	0.5584206285253828	0.01697801562493005	1.0	21.0	0.0
accuracy	0.5495911092472217	0.022278509497477592	100.0	11.0	0.0
accuracy	0.5411812793787043	0.025198923439812223	1.0	21.0	0.0
gini_index	0.5524119682475066	0.021050684249975173	1.0	21.0	0.0
gain_ratio	0.5577889447236181	0.018211506063490614	11.0	21.0	0.0
information_gain	0.5465513774381661	0.01676258447857425	11.0	21.0	0.0
gini_index	0.5540154912352222	0.018326428310826693	11.0	21.0	0.0
accuracy	0.5392136891423915	0.026747563421624654	11.0	21.0	0.0
gain_ratio	0.5549295774647888	0.01969205990778856	21.0	21.0	0.0
information_gain	0.5461661983139301	0.02348057637314568	21.0	21.0	0.0
gini_index	0.5591419816138917	0.019342574740742528	21.0	21.0	0.0
accuracy	0.5480514180779433	0.019654969219595347	21.0	21.0	0.0
gain_ratio	0.5567383008636272	0.016760679518094665	31.0	21.0	0.0
information_gain	0.5493467336683417	0.022896132317168666	31.0	21.0	0.0
gini_index	0.5566884176182708	0.0204092857322276	31.0	21.0	0.0
accuracy	0.5413180983472761	0.018856052077928925	31.0	21.0	0.0
gain_ratio	0.5532514596335817	0.019794350526744442	41.0	21.0	0.0
information_gain	0.5442299959790913	0.021504637026416723	41.0	21.0	0.0
gini_index	0.5491836734693878	0.021578269057081385	41.0	21.0	0.0
accuracy	0.5272690272690272	0.01654129828764663	41.0	21.0	0.0
information_gain	0.5503922751961376	0.015928966902514642	51.0	21.0	0.0
gain_ratio	0.5639218844372861	0.016619999465467092	51.0	21.0	0.0
accuracy	0.5407664084794129	0.020243782888479535	51.0	21.0	0.0
gini_index	0.5421833706037813	0.019411221933036415	51.0	21.0	0.0
information_gain	0.5473515248796148	0.011576899495912275	60.0	21.0	0.0
gain_ratio	0.5619718309859155	0.019426052489959784	60.0	21.0	0.0
accuracy	0.5338896804396499	0.018965503813929488	60.0	21.0	0.0
gini_index	0.5464169381107492	0.0165725108918042	60.0	21.0	0.0
gain_ratio	0.5572979493365501	0.023963579016582564	70.0	21.0	0.0
gini_index	0.550417600325932	0.020856936940051658	70.0	21.0	0.0
information_gain	0.5495983935742972	0.018918273185816317	70.0	21.0	0.0
accuracy	0.5367093756355501	0.020621417218256954	70.0	21.0	0.0
information_gain	0.5467871485943775	0.01816672590819597	80.0	21.0	0.0
gain_ratio	0.5531231170917855	0.022629002543262063	80.0	21.0	0.0
gini_index	0.5585236541598695	0.018556860809881292	80.0	21.0	0.0
accuracy	0.5444172779136104	0.02309407422411746	80.0	21.0	0.0
gain_ratio	0.5554214443773888	0.010176205427983259	90.0	21.0	0.0
information_gain	0.5468969672625025	0.020359806224156306	90.0	21.0	0.0
accuracy	0.540403012416039	0.027375893724242612	90.0	21.0	0.0
gini_index	0.5491636066911465	0.022813878711880866	90.0	21.0	0.0
gain_ratio	0.5514056224899598	0.018259294783972268	100.0	21.0	0.0
gini_index	0.5480456026058632	0.015720407971087827	100.0	21.0	0.0
information_gain	0.5482315112540193	0.011426893061383274	100.0	21.0	0.0
accuracy	0.5501321944274964	0.021370374554066197	100.0	21.0	0.0
information_gain	0.5404971932638332	0.012080586025636393	1.0	31.0	0.0
gain_ratio	0.5592540605574494	0.012618948412807288	1.0	31.0	0.0
gini_index	0.5355411954765751	0.024097534235687973	1.0	31.0	0.0
accuracy	0.530562840427678	0.02585431928968018	1.0	31.0	0.0
information_gain	0.5479863754758565	0.026742315514257323	11.0	31.0	0.0
gain_ratio	0.561171279582832	0.015756870676228083	11.0	31.0	0.0
accuracy	0.5296969696969697	0.014769535498110864	11.0	31.0	0.0
gini_index	0.5417256011315418	0.017909002534015905	11.0	31.0	0.0
gain_ratio	0.5546639919759278	0.022600081092286915	21.0	31.0	0.0
