# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
gain_ratio	0.5679195028114827	0.0176455221644362	1.0	1.0	0.0
gini_index	0.57046875	0.010555965906324039	1.0	1.0	0.0
information_gain	0.5564551744442808	0.015568408393248143	1.0	1.0	0.0
gain_ratio	0.561144711609382	0.025704396480121443	11.0	1.0	0.0
accuracy	0.5689384422110553	0.017698792011843135	1.0	1.0	0.0
information_gain	0.5616902237926973	0.016983596907265416	11.0	1.0	0.0
accuracy	0.5632201806290875	0.02492427191631078	11.0	1.0	0.0
gini_index	0.5668231611893584	0.02037677963411999	11.0	1.0	0.0
gain_ratio	0.5678466076696165	0.020563070234871503	21.0	1.0	0.0
information_gain	0.5622058823529412	0.015527022751305714	21.0	1.0	0.0
gini_index	0.5768870867124142	0.011714694897422856	21.0	1.0	0.0
accuracy	0.5695509309967142	0.016018737440041474	21.0	1.0	0.0
gain_ratio	0.5663872959858844	0.01217744048849791	31.0	1.0	0.0
information_gain	0.562444641275465	0.0195223921993046	31.0	1.0	0.0
accuracy	0.5672341090114009	0.023496190326980453	31.0	1.0	0.0
gini_index	0.5685906460190834	0.01572928090404036	31.0	1.0	0.0
gain_ratio	0.5545735749005745	0.013745809503037346	41.0	1.0	0.0
information_gain	0.5539165068594188	0.024039264040732387	41.0	1.0	0.0
gini_index	0.5641786383510307	0.018652200662078136	41.0	1.0	0.0
accuracy	0.5688001258059443	0.013519343853724625	41.0	1.0	0.0
gain_ratio	0.5609035877749889	0.017936453659615662	51.0	1.0	0.0
information_gain	0.5651658767772512	0.01834038897372917	51.0	1.0	0.0
gini_index	0.5636335209505942	0.02572494816401615	51.0	1.0	0.0
gain_ratio	0.5664603595638078	0.016977415183954753	60.0	1.0	0.0
accuracy	0.5643969177543638	0.02307991319339454	51.0	1.0	0.0
information_gain	0.5619932183399675	0.01183591672218047	60.0	1.0	0.0
gini_index	0.5654205607476636	0.01729124326716821	60.0	1.0	0.0
accuracy	0.5643874198091066	0.018781880608782654	60.0	1.0	0.0
gain_ratio	0.5657388214391472	0.016836125038217978	70.0	1.0	0.0
information_gain	0.559511549212888	0.024611672727424285	70.0	1.0	0.0
gini_index	0.5670216097713748	0.01887682908812602	70.0	1.0	0.0
gain_ratio	0.5614397403746866	0.013266125280747738	80.0	1.0	0.0
accuracy	0.5681141244709202	0.01765874026788287	70.0	1.0	0.0
information_gain	0.563924237940219	0.019307785475361737	80.0	1.0	0.0
gini_index	0.5660200250312891	0.012819148842405117	80.0	1.0	0.0
gain_ratio	0.5593469627886454	0.022029785200701944	90.0	1.0	0.0
accuracy	0.5638849599245639	0.014113776953928967	80.0	1.0	0.0
information_gain	0.5654550827423168	0.024947750923265895	90.0	1.0	0.0
gini_index	0.5647279549718575	0.015760836200289185	90.0	1.0	0.0
gain_ratio	0.5666323074657635	0.013510439775328726	100.0	1.0	0.0
accuracy	0.5677713208732527	0.02195613267640394	90.0	1.0	0.0
information_gain	0.5617329587461186	0.008332924275362086	100.0	1.0	0.0
gain_ratio	0.5502594919420923	0.015319857090406001	1.0	11.0	0.0
information_gain	0.5458628198149156	0.02112053189050874	1.0	11.0	0.0
gini_index	0.5702673128028763	0.02105589629140727	100.0	1.0	0.0
accuracy	0.5627834245504301	0.01856770607792078	100.0	1.0	0.0
accuracy	0.5563292020609943	0.020203132400276904	1.0	11.0	0.0
gini_index	0.5505711897464475	0.020136288087896713	1.0	11.0	0.0
gain_ratio	0.5526351627400246	0.021795905724512763	11.0	11.0	0.0
gini_index	0.5543144373080146	0.014184590795124519	11.0	11.0	0.0
information_gain	0.54858934169279	0.016238110743706246	11.0	11.0	0.0
accuracy	0.5497985831365467	0.02347336514260796	11.0	11.0	0.0
gain_ratio	0.5533397076902062	0.021895841701836293	21.0	11.0	0.0
information_gain	0.552076242341729	0.020563149598897844	21.0	11.0	0.0
gini_index	0.5625696767001115	0.015106890089794505	21.0	11.0	0.0
accuracy	0.5557256156950049	0.016448071195061104	21.0	11.0	0.0
gain_ratio	0.5504024007638794	0.022049921791725425	31.0	11.0	0.0
information_gain	0.5497546346782988	0.017546684525516443	31.0	11.0	0.0
accuracy	0.5511055486024197	0.018684432615521933	31.0	11.0	0.0
gini_index	0.5577056939997216	0.01648361693191828	31.0	11.0	0.0
gain_ratio	0.5539970039493395	0.022298900774540924	41.0	11.0	0.0
information_gain	0.5477002866111642	0.01367822879488746	41.0	11.0	0.0
accuracy	0.5491563240831125	0.013120327947353355	41.0	11.0	0.0
gini_index	0.556606397774687	0.014992137972102536	41.0	11.0	0.0
information_gain	0.5452192862980114	0.02179549162759949	51.0	11.0	0.0
gain_ratio	0.5526603001364256	0.01983224938688671	51.0	11.0	0.0
gini_index	0.5515801197271335	0.018043735279673057	51.0	11.0	0.0
accuracy	0.5523425552620603	0.023514832049094596	51.0	11.0	0.0
gain_ratio	0.5575666848121938	0.021102541748756892	60.0	11.0	0.0
information_gain	0.545962140814381	0.008356193489007803	60.0	11.0	0.0
accuracy	0.5513355592654424	0.008052705981008159	60.0	11.0	0.0
gini_index	0.558811159399972	0.009649313438778721	60.0	11.0	0.0
information_gain	0.5463341509948215	0.014195785929368654	70.0	11.0	0.0
gain_ratio	0.5554343379244511	0.011100599190039523	70.0	11.0	0.0
gini_index	0.560853199498118	0.013630252167055707	70.0	11.0	0.0
gain_ratio	0.5543122270742358	0.011308307597283176	80.0	11.0	0.0
accuracy	0.54926245477317	0.017403709702285216	70.0	11.0	0.0
information_gain	0.5515358361774744	0.01978006067617685	80.0	11.0	0.0
gini_index	0.5587743732590529	0.01265948745972063	80.0	11.0	0.0
accuracy	0.5501324780365361	0.013856223286693229	80.0	11.0	0.0
gain_ratio	0.5491959662033251	0.019326271359531483	90.0	11.0	0.0
