# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	Apply Pruning	Maximal Depth	PerformancMainCrit	StdDeviation
information_gain	true	1.0	0.0037142857142857142	0.001309307341415954
gini_index	true	1.0	0.0037142857142857142	0.001309307341415954
gain_ratio	true	1.0	0.0037142857142857142	0.001309307341415954
accuracy	true	1.0	0.0037142857142857142	0.001309307341415954
gain_ratio	true	11.0	0.7907177861055059	0.023258467124285337
gini_index	true	11.0	0.6900244798041616	0.035134689073121284
information_gain	true	11.0	0.6819981724032896	0.015851724855052995
accuracy	true	11.0	0.6914660831509847	0.01841130613019541
gain_ratio	true	21.0	0.7235453723243895	0.0419895278012739
information_gain	true	21.0	0.6916286149162861	0.02422151742724691
accuracy	true	21.0	0.6861268047708726	0.017964409944016536
gini_index	true	21.0	0.6938339438339438	0.026274154498823067
gain_ratio	true	31.0	0.6956255735698991	0.035532716487470396
information_gain	true	31.0	0.6878787878787879	0.029913396448284675
gini_index	true	31.0	0.6920267802799757	0.01770711649811642
accuracy	true	31.0	0.6851677641894011	0.016159846837876662
information_gain	true	41.0	0.6935286935286935	0.020446549424755385
gain_ratio	true	41.0	0.6850418086094766	0.01695792459176378
gini_index	true	41.0	0.6908814589665654	0.014967334403203802
accuracy	true	41.0	0.6918732350172576	0.030272475893689046
gain_ratio	true	51.0	0.6905648665425201	0.020321654599350227
information_gain	true	51.0	0.6883156297420334	0.030289647500979042
gini_index	true	51.0	0.6895494943303708	0.027241447788977084
accuracy	true	51.0	0.6915126839962418	0.01402035203372024
gain_ratio	true	60.0	0.7008094645080947	0.03781436193619428
information_gain	true	60.0	0.6952554744525548	0.02273286149481659
gini_index	true	60.0	0.6933534743202417	0.017659177308767007
accuracy	true	60.0	0.6954616588419406	0.011744887921833038
gain_ratio	true	70.0	0.7025929397063417	0.027855366112129583
information_gain	true	70.0	0.6897599513825585	0.03233966784802073
gini_index	true	70.0	0.6883394383394383	0.024532151632608745
accuracy	true	70.0	0.6882871536523929	0.026621376640195798
gain_ratio	true	80.0	0.7006507592190889	0.024260366699106542
information_gain	true	80.0	0.6864175022789426	0.02431055777833098
gini_index	true	80.0	0.6928004881025015	0.01596224986758021
accuracy	true	80.0	0.689795918367347	0.028688690234699776
information_gain	true	90.0	0.6877096675815797	0.02941111826662003
gain_ratio	true	90.0	0.7089319175515303	0.026001848685377315
gini_index	true	90.0	0.6952959028831563	0.018266402840882042
accuracy	true	90.0	0.6880877742946708	0.026534066387822308
gain_ratio	true	100.0	0.708904109589041	0.022341916709798314
information_gain	true	100.0	0.6940889701401585	0.02778189657233456
gini_index	true	100.0	0.6853103872157345	0.027320013375759535
gain_ratio	false	1.0	0.0037142857142857142	0.001309307341415954
accuracy	true	100.0	0.6908182386008744	0.020554897534909192
information_gain	false	1.0	0.0037142857142857142	0.001309307341415954
accuracy	false	1.0	0.0037142857142857142	0.001309307341415954
gini_index	false	1.0	0.0037142857142857142	0.001309307341415954
gain_ratio	false	11.0	0.7985611510791367	0.03804999304942675
gini_index	false	11.0	0.6899390243902439	0.023447513132915307
information_gain	false	11.0	0.6923780487804878	0.02567814820030175
accuracy	false	11.0	0.6956659285036381	0.02192208284743443
gain_ratio	false	21.0	0.7264547090581883	0.029560847641365674
information_gain	false	21.0	0.6892878880097383	0.023644121020005508
accuracy	false	21.0	0.6921383647798742	0.021953200564687685
gini_index	false	21.0	0.6863636363636364	0.024317425430083663
gain_ratio	false	31.0	0.6925665341082899	0.02925345443354121
gini_index	false	31.0	0.6940458015267176	0.02199066896317623
information_gain	false	31.0	0.6912792464296567	0.03079652830649343
accuracy	false	31.0	0.6891679748822606	0.0162720448476824
information_gain	false	41.0	0.6907026695305308	0.02799849055209853
gain_ratio	false	41.0	0.6828518746158574	0.024758740630501343
gini_index	false	41.0	0.6897821417612765	0.027051465600048518
accuracy	false	41.0	0.6970365699873896	0.016649950995652325
information_gain	false	51.0	0.6937784522003035	0.023319338541094536
gain_ratio	false	51.0	0.6932382133995038	0.034508354559289287
accuracy	false	51.0	0.6913734039240113	0.03315869861343049
gini_index	false	51.0	0.6912442396313364	0.01756419556671596
gain_ratio	false	60.0	0.7000934288383681	0.01999326989145806
information_gain	false	60.0	0.6878806333739342	0.03217183200630484
gini_index	false	60.0	0.6959975557592423	0.02432106384195403
accuracy	false	60.0	0.6943834326953248	0.016648392830335784
information_gain	false	70.0	0.6910248635536689	0.028345006920135737
gain_ratio	false	70.0	0.7018091079226451	0.026258146205966386
gini_index	false	70.0	0.686699206833435	0.021237044487174967
accuracy	false	70.0	0.6866186148542777	0.025951616984015578
gain_ratio	false	80.0	0.7085661080074488	0.028813618460137233
information_gain	false	80.0	0.6923545537618032	0.023597292821069434
accuracy	false	80.0	0.6911949685534591	0.02004273994351561
gini_index	false	80.0	0.6903304773561811	0.025765509443604274
gain_ratio	false	90.0	0.7126365054602184	0.025051925696259005
information_gain	false	90.0	0.6960365853658537	0.025146474099822565
gini_index	false	90.0	0.6915802318486882	0.0229483280761508
accuracy	false	90.0	0.6893295561850803	0.02576785026213069
gain_ratio	false	100.0	0.7039001560062402	0.028817085393456048
information_gain	false	100.0	0.6901065449010655	0.021715801433793473
accuracy	false	100.0	0.6827889447236181	0.027681135129053007
gini_index	false	100.0	0.6965643052599574	0.01722613461106166
